"","SessionTitle","SessionSpeaker","SessionLevel","day","i.SessionLevel","SessionTrack","SessionAbstract"
"13","Abstract data layers in Microsoft SQL Server","Uwe Ricken",NA,NA,"200","Dev","Many developers are working with direct access to the data layer of a database (tables) by ORM or .NET, Access, ... This access methode maybe a good choice for small applications which use a dedicated database where no security or business requirement is needed. This session demonstrates protection of data by using schemata for data protection and implementation of business logic for multiple applications. The session content will deal with data integrity on attribute / row / table level. It will show how to protect sensitive data without management of access from the application as well. Usage of constraints for data integrity, schemas for security and views / stored procedures for business rules will be part of the demo driven presentation."
"14","Accelerate you SSIS Development with BI Markup Language","Sander van der Hoeff",NA,NA,"300","BI","Ever ended up with a source system where an old datatype was replaced with a new one so you had to rebuild all your SSIS packages? Entered a project with SSIS packages which needed a complete rebuild to perform but you didn’t have the time for a rebuild of your whole project?Client specifications changed (again) and you had to start all over again building all your packages?Had to import hundreds of text files but had no idea where to start? We did it all and rebuild 100+ SSIS packages within a day using biml for generating SSIS packages. And with a generator at hand, we were able to absorb a new version of a source system including analysis of the changes made in the source in only two days. And the best of all, BIML is part of BIDSHelper and free to use!Don' t just believe what I say, In my session I will demonstrate where to start. I will show you around in BIML. After the quick basics of BIML I will show you how, with very basic programming knowledge, you can parameterize the BIML script in order to multiply the template to multiple packages over and over again (when needed of course)."
"15","Actually using source control and unit testing with SQL","Ed Elliott",NA,NA,"200","Dev","It seems that for years us Sql developers haven't needed to use source control, we backup our databases which contain the source so why would we need to? Times are changing, with the addition of SSDT (Sql Server Data Tools) to our tool set we now, more than ever, need to join the rest of the development community and start using source control - if you are convinced of the benefits and maybe have even tried to get your database under source control and got stuck or don't even know where to start then this is the session for you. Once the database is under source control then we move onto the next great thing, testing - with frameworks like DBUnit, tSQLt and even the Microsoft supplied MSTest we can easily start writing automated testing which allows us, if done correctly, to make our code:Easier to write     Easier to understand     Easier to debug     Less prone to bugs  If you have tried to start unit testing but again did not know how to actually get started then this session will give some practical examples of how to actually get setup and working productively. There is no point in trying to do something that just adds a massive overhead to your development so come here and learn how to integrate unit testing with your development and make a step towards more modern and agile Sql Server development!"
"16","Ad-Hoc Maintenance Plans","Tobiasz Janusz Koprowski",NA,NA,"300","DBA","Maintenance Plans for Beginners (but not only) | Each of experienced administrators used (to some extent) what is called Maintenance Plans - Plans for Maintaining Database. During this session, I'd like to discuss what can be useful for us to provide functionality when we use them and what to look out for. From SQL Server Tools in Management Studio, throught Wizard and Designer, to advanced scripts and methods."
"17","Advanced Backup and Restore","Pieter Vanhove",NA,NA,"400","DBA","A good backup and restore strategy is the most important thing that a DBA should be worried about each day. Most DBA's know the standard options for implementing a basic backup and restore plan. But there are also not so well known options that can help you with a more advanced recovery plan and that will increase the speed of your backups and restores. This session is bulk loaded with demos and it will give you a good idea what infrequently features can be helpful in your environment, like:   Backup     Partial backups"
"18","Advanced Query Tuning Techniques","Guy Glantser",NA,NA,"400","Dev","You identified a query that is causing performance issues, and your mission is to optimize it and boost performance. You looked at the execution plan and created all the relevant indexes. You even updated statistics, but performance is still bad. Now what? In this session we will analyze common use cases of poorly performing queries, such as improper use of scalar functions, inaccurate statistics and bad impact of parameter sniffing. We will learn through extensive demos how to troubleshoot these use cases and how to boost performance using advanced and practical techniques. By the end of this session, you'll have a list of tips and techniques to apply on your environment."
"19","Advanced Query Tuning Techniques","Guy Glantser",NA,NA,"400","Dev","You identified a query that is causing performance issues, and your mission is to optimize it and boost performance. You looked at the execution plan and created all the relevant indexes. You even updated statistics, but performance is still bad. Now what? In this precon we will analyze many use cases of poorly performing queries, such as improper use of scalar functions, inaccurate statistics and bad impact of parameter sniffing. We will learn through extensive demos how to troubleshoot these use cases and how to boost performance using advanced and practical techniques. By the end of this precon, you'll have a list of tips and techniques to apply on your environment."
"20","Advanced Subscriptions with Reporting Services","Leonard Matter",NA,NA,"300","BI","Reporting Services is a great tool to send out reports by email or files. But if you ran into limitations with the subscriptions microsoft offers, or if it's not as easy as you would like to, this session is for you. I'll show you how to integrate your reporting tasks in ETL jobs, how to manage your distribution lists centrally, how to update parameters and manage smtp issues. Spoiler: This will be using Reporting Services web services, some c# programming, and some free tools."
"21","Advanced Time Intelligence","Alberto Ferrari",NA,NA,"300","BI","Any business report requires some sort of time intelligence calculation: year-to-date, month-to-date, same period last year, growth in absolute value and as a percentage. You can implement most of the time intelligence calculations using standard DAX functions but, when it comes to handling complex scenarios, only modeling, imagination and technique together can help you solve the challenge. In this session, Alberto Ferrari will quickly run through the basic time intelligence technique and then performs a deep analysis of more advanced scenarios, like week-based calendar, non-contiguous date selection, moving windows over time and handling of holidays in different countries. It is also a good chance to see how DAX and data modes can help you solve complex problems."
"22","Agile BI","Stephanie Locke",NA,NA,"200","BI","From scrums to sprints to a mountain of post-its, there's a world of weird and wacky project management stuff going on in the dev world. It's making it easier to get things done rapidly but how does it apply to BI and what does it all mean? This session covers: - agile concepts - useful techniques for BI projects and ongoing work - how to model and iterate data warehouses rapidly - the technological components that can help deliver agile BI After this session you should be equipped to start your first steps on the road to better quality, faster, and more collaborative BI."
"23","Agile BI: tips to deliver a DWH solution using SCRUM","Florian Eiden",NA,NA,"300","BI","Now that we all master the delivery of a BI solution using traditional waterfall or V-model software development cycles and SQL Server components, it's time to enter the 21st century and adopt Agile Methodologies: inscribed in Agile values, iterative on functional scopes and not technical ones, part of a cycle of continuous improvement for people and solutions."
"24","Alarm for Data Governance! Self-Service BI is coming","Oliver Engels",200,2015-03-06,"200","BI","Self-Service BI functionality is one of the big goals of the modern Microsoft BI stack. But with the ability to bring business intelligence functionality to a much broader audience the danger of inconsistency, redundancy of information and accountability as well as security concerns and data quality problems can increase. In this session, we will show data governance best practices and what capabilities for data governance Power BI has in place. In addition, we’ll discuss how you can enhance your self-service BI landscape with Master Data and Data Quality Services for improved governance."
"25","All About Indexing","Hugo Kornelis",300,2015-03-07,"300","Dev","We all know indexes can speed up queries. But why? And how? Why is “index on every column” not a good indexing strategy, why is your shiny new index not used, and why can adding indexes even hurt performance? The key to answering this is understanding how SQL Server lays out your data on disk, how this changes when you add an index, and how SQL Server uses these indexes to find the information required for your queries. The first part of this presentation will provide in-depth insight in how heaps, clustered indexes, and nonclustered indexes are organized on disk; and how they are used for scans, seeks, and lookups. The second part will then continue on advanced features, such as included columns, indexed views, and filtered indexes. You will see the tools SQL Server itself hands you to help identify just the right subset of indexes, and their limitations and weaknesses. And finally, you will get a stunning demonstration of just how bad you can HURT performance by creating too many indexes. Armed with this information, you should be able to find just the right set of indexes for your workload."
"26","All about Indexes","Gail Shaw",300,2015-03-06,"300","Dev","Indexes are essential to good database performance, but it can be hard to decide what indexes to create and the ‘rules’ around indexes often appear to be vague or downright contradictory. In this full day session we’ll dive deep into indexes, have a look at their architecture and internal structure and how that affects the way that indexes are used in query execution. We’ll look at why clustered indexes are recommended on almost all tables and how their architecture affects the choice of columns. We’ll look at nonclustered indexes; their architecture and how query design affects what indexes should be created to support various queries."
"27","AlwaysOn Live Deployment","Ryan Adams",NA,NA,"300","DBA","This session is 90% live demonstrations.  I'll walk you through a complete AlwaysOn deployment.  You will see firsthand how to install and configure an AlwaysOn Failover Cluster.  I'll also show you how to setup an AlwaysOn Availability Group across 5 nodes using both the GUI and T-SQL so you know why and when to use each method.  I'll finish up by showing how you can connect to a readable secondary."
"28","Amazing Things You Can Do With Power BI","Chris Webb",300,2015-03-06,"300","BI","Power BI is a dream tool when it comes to demos. In this session you'll see some cool things you can do with Power Query, Power Pivot, Power View, Power Map and Power BI for Office 365, and even if what's shown has very little business use you'll learn a lot by seeing how each of the demos is implemented. Prepared to be amazed!"
"29","An End-to-End Troubleshooting Checklist for SQL Server","Kevin Kline",300,2015-03-06,"300","DBA","Learning how to detect, diagnose and resolve performance problems in SQL Server is tough.  Often, years are spent learning how to use the tools and techniques that help you detect when a problem is occurring, diagnose the root-cause of the problem, and then resolve the problem.   In this session, attendees will see demonstrations of the tools and techniques which make difficult troubleshooting scenarios much faster and easier, including: •           XEvents,Profiler/Traces, and PerfMon  •           Using Dynamic Management Views (DMVs) •           Identifying bottlenecks using Wait Stats •           Reading SQL Server execution plan  Every DBA needs to know how to keep their SQL Server in tip-top condition. If you don't already have troubleshooting skills, this session covers everything you need to know to get started."
"30","An Introduction To Column Store Indexes and Batch Mode","Chris Adkin",300,2015-03-06,"300","DBA","This session is a primer on column store indexes and SQL Server batch mode, it delves into the background behind the performance gains achieved by batch mode and includes demos on things that can be done to further enhance batch mode performance such as pre-sorting the data prior column store index creation, delta stores in action, segment elimination and the difference that batch mode makes. Back ground information on the 'Anatomy' of a column store index, how row mode works and why it is inefficient and a brief overview of CPU architectures is also provided. The full deck behind for this presentation ( which may be subject to change ) can be found here: http://www.slideshare.net/chris1adkin/an-introduction-to-column-store-indexes-and-batch-mode."
"31","An introduction to the Power BI Designer","Kasper de Jonge",300,2015-03-05,"300","BI","The new Power BI Designer is a dedicated report authoring tool for the Power BI Preview service. It offers rich data transformation and visual analytics in a unified, seamless experience. In this session we will look in detail into some of the features for the Power BI designer and take it for a spin and investigating some of the new capabilities it has to offer for different relationships and new DAX formulas."
"32","Analysing Text with SQL Server 2014","Dejan Sarka",300,2015-03-07,"300","BI","Text mining is becoming more and more popular. Everybody would like to understand data from blogs, Web sites, and social media. Microsoft SQL Server in versions 2012 and 2014 enhances full-text search support that was substantially available in previous editions. Semantic Search, a new component in Full-Text Search, can help you understanding the meaning of documents. The Term Extraction and Term Lookup components from SQL Server Integration Services also help with text analysis. However, the question arises: is all this enough? This presentation unveils the good and the bad side of text mining with the tools mentioned."
"33","Analytics Master Class-exploiting exotic patterns in data","Mark Whitehorn",300,2015-03-07,"300","BI","Analysis of raw data requires us to find and understand complex patterns in that data.  We all have a toolbox of techniques and methodologies that we use; the more tools we have, the better we are at the job of analysis.  Some of these tools are well known, data mining for example. This talk covers some of the less well-known techniques that are still directly applicable to this kind of analytics.  These include: Monte Carlo simulations (MCS) Nyquist’s Theorem Benford’s Law Simpson’s paradox This session will focus on how understanding these techniques can help you understand complex data patterns in your day-to-day work. For example, it turns out that some problems are very, very difficult to solve by standard mathematics.  Take the random walk problem, for example.   If you stand in a desert and take each step in a random direction, how far are you from your origin (on average) after n steps?  Given that Albert Einstein worked on the problem, the mathematical proof is obviously non-trivial.  (Unlike the answer, which is simply the square root of n).  That self-same problem can be solved using a Monte Carlo simulation which can be written in just nine lines of code.   I fully understand that you are unlikely to want to solve this particular problem (for a start, it’s already been solved and, in addition, who would really walk like that in a desert?).  But the point is that many problems, from understanding web page usage to the behaviour of users of a video-on-demand system, are horribly difficult to solve as a mathematical problem and ludicrously easy (in relative terms) using a Monte Carlo simulation.  Nyquist’s Theorem can be used to tell us, for example, how often to sample smart electricity meters, and much more.  Benford’s Law is fabulously powerful for detecting fraud and so on. This session will NOT include any heavy (or, indeed, light!) mathematics; instead, it will focus on how understanding these techniques can help you understand complex data patterns in your day-to-day work.    It is a shortened version of a pre-conference, day-long session that I gave at PASS earlier this year."
"34","Analytics and PowerBI-Mythbusting the news","Jennifer Stirrup",NA,NA,"200","BI","Fans of BBC Radio 4's 'More or Less' will be familiar with the mythbusting theme, where we take some ridiculously wild news headlines and explore the data to understand what really happened. Join us for a fun newspaper-headline myth bashing session using Power BI, inspired by myth busters such as Tim Harman and other headline exposers. We will look at data journalism in various media, and see how it helps us to understand better using data visualisation and PowerBI."
"35","Analyze data streams with Azure stream analytics","Nico Jacobs",300,2015-03-05,"300","BI","In many database applications we first log data and then, a few hours or days later, we start analyzing it. But in a world that's moving faster and faster, we sometimes need to analyze what is happening NOW. Azure Stream Analytics allows you to analyze streams of data via a new Azure service. In this session you will see how to get started using this new service. From event hubs on the input side over temporal SQL queries: the demo’s in this session will show you all of it."
"36","Analyzing Your Indexing Strategy","Tim Ford",NA,NA,"300","DBA","Like Frankenstein's Monster (or our teenagers) things get released into the wild and behave differently than planned - database usage patterns are no different.  Join Tim as he goes over what to look for when tweaking your index strategy: poor clustering key decisions, under-used indexes, covering indexes gone wrong, overlooked heaps and fill factor failures are just a few of the blunders to be identified.  Pointing out what is sub-par is only part of the process though.  As a group we will discuss what the better options are based upon what we uncover over these two hours. In a combination of instructor-led training and group discussion formats we will use various constructs including Dynamic Management Objects and System Catalaog Views to identify improvement points and then discuss what we would do differently should we see these issues in our environemnts."
"37","Anchor Modelling: 6NF for agile dbs","Stephanie Locke",NA,NA,"400","Dev","Anchor Modelling is a fantastic database modelling paradigm that uses sixth normal form (6NF) to store data in and provides third normal form (3NF) views for ease of use. This session showcases Anchor Modelling to allow for a purely additive development process for databases that reduces development, testing and deployment time. Covering the theory and practical tips from our experience it provides a solid intro to a great design model for OLTP and DW databases alike. The session covers the fundamentals of database theory giving you enough to get going, it explores the Anchor Model system, the benefits it brings, and then dives into how you can start incorporating Anchor Modelling into your current database schema and ETL."
"38","Are You Optimistic About Concurrency?","Kalen Delaney",NA,NA,"300","Dev","What exactly does it mean to have optimistic concurrency? What is the alternative? Is SQL Server 2012's SNAPSHOT Isolation optimistic?  How can SQL Server 2014's In-Memory OLTP provide truly optimistic concurrency?   In this session, we'll look at what guarantees the various isolation levels provide, the difference between pessimistic and optimistic concurrency, and the new data structures in SQL Server 2014 that allow the enormous benefits of having totally in-memory storage with no waiting!"
"39","Azure Data Factory vs SSIS","Reza Rad",NA,NA,"300","BI","SSIS is a well known ETL tool on premisses. Azure Data Factory is a managed service on cloud which provides ability to extract data from different sources, transform it with data driven pipelines, and process the data. in this session you will see many demos comparing ADF (Azure Data Factory) with SSIS in different aspects. you will also learn features that are available in ADF but not in SSIS with many demos."
"40","Azure Data Factory-More than just Cloud SSIS","Allan Mitchell",NA,NA,"200","BI","Want to do data transformations in the cloud?  Been wondering when SSIS would port to the cloud?  Azure Data Factory is not SSIS but a ground up rethink of moving data in Azure.   Come to this session to understand how to take your data and move it through a cloud based transformation at scale."
"41","Azure Machine Learning from the ground up.","Mark Pryce-Maher",200,2015-03-06,"200","BI","Azure Machine Learning is a fully managed cloud service for predictive analytics.  In this 1hour session, we will run through; ML Studio Getting data in to Azure ML Processing data Creating and running Experiments in a workspace Visualising the results Using R within Azure ML Publishing and your Experiments as a web service"
"42","Azure Networks and VMs for the DB Guy","Rik Hepworth",300,2015-03-05,"300","Dev","Sometimes don't want our data in the cloud, but that doesn't mean we can't use the cloud at all. Windows Azure allows private networks to be defined that can host virtual machines, connect securely to our on-premises network and act as a bridge for scalable Azure Websites. In this session I'll create a network, add VMs and connect in a website. I'll talk about how it could be connected to on-prem and run through the concepts involved."
"43","AzureML versus SQL Server Data Mining","Nico Jacobs",NA,NA,"300","BI","Since SQL Server 2000 there is a machine learning (or data mining, if you prefer) engine within SQL Server Analysis Services. But in 2014 Microsoft launched AzureML, a machine learning engine within Azure, their cloud platform. Is newer better? Should we turn our attention solely to the new kid around the block?  In this session we will compare both products in live demos, show the strong and weak points in both of these products. So if you plan on doing predictive analysis in the near future, come to this session to see which product fits best with your project."
"44","BI DBA Performance Tuning","Bradley Ball",300,2015-03-06,"300","BI","Data Warehouses and OLTP systems are different!  But there are some core concepts that we need to understand for managing and maintaining both.  Do you want to know how you can load data faster, just by setting up your database correctly?  Are your queries running slow?  Want to understand how you can reduce locking and blocking in reporting queries?  Do you have a system with views, that reference views, which reference more views?  Let's discuss some core concepts and techniques that will get you out of the slow lane and on your way to a faster Data Warehouse!"
"45","BI for non-BI folks","Edgar Walther",NA,NA,"200","BI","What is it that all these BI people are so excited about? Why does a data warehouse differ from a ""normal"" database? Why is creating reports not just creating reports? What Microsoft products are involved?  In this fully packed one-hour session everyone who is not familiar with Business Intelligence concepts is introduced to the world of BI. A BI speed-course, with some theory, and also some demo's. This will be the most productive hour of this year's SQL bits! :-)"
"46","Backup … set … restore!","Pieter Vanhove",NA,NA,"200","DBA","SQL backups within your enterprise should be like making coffee, good and often!  One of the most important aspects for a database environment is ensuring reliable backups are being executed and a dependable recovery plan is established in case of a system failure or data corruption. Setting up basic backups is quite simple.  Adding on log backups and differentials is easy as well. However, in real life, we still see a lot of wrong backup configurations and backup failures!  In this session, you will learn about the backup and restore strategies, the different recovery models, the main backup types, implementing restore scenarios, restoring a full backup, restoring to a point in time and backup/restore best practices."
"47","Batmans Utility Belt MSBuild","Craig Ottley-Thistlethwaite",NA,NA,"200","Dev","Everyday more and more people are moving towards CI/CD development. Before users take the step to implementing CI/CD they're unsure of what tooling to use and which is the ""best"". This session is aimed as an introduction to MSBuild and how you can leverage the engine to build and deploy your source code. We'll look at the full Business Intelligence stack."
"48","Behaviour Analysis MDX","Andrew Baker",400,2015-03-06,"400","BI","A SSAS MDX Deep Dive session covering the implementation of a business requirement to identify rogue behaviour over time and within SCD organisation groups."
"49","Beware of the Dark Side-A  Tour of Oracle for the SQL DBA","David Postlethwaite",NA,NA,"300","DBA","Beware of the Dark Side - A Guided Tour of Oracle for the SQL DBA Today, SQL Server DBAs are more than likely at some point in their careers to come across Oracle and Oracle DBAs.To the unwary this can be very daunting and, at first glance, Oracle can look completely different with little obvious similarities to SQL Server. This talk sets out to explain some of the terminology, the differences and the similarities between Oracle and SQL Server and hopefully make Oracle not look quite so intimidating. At the end of this session you will have a better understanding of Oracle and the differences between the Oracle RDBMS and SQL Server.  Although you won’t be ready to be an Oracle DBA it will give you a foundation to build on."
"50","Blazing Fast Backups","Sean McCown",NA,NA,"300","DBA","Have you ever gotten tired of your database taking hours to back up? Are you sick of your users breathing down your neck because the database restore is taking too long? Now you won't have to worry about that anymore. In this session I show you some little known tricks, methods, and trace flags you can use to tune your backups just like you would a query. You'll learn about the backup ""execution plan"" and how to access it. Understanding how to tune the individual portions of your backup process will allow you to knock 80% and even more off of your backup and restore time. I’m not holding anything back in this session. This is a method I’ve used for 15 years to tune my backups and I’ve had great success."
"51","Boost your T-SQL with the APPLY Operator","Itzik Ben-Gan",300,2015-03-05,"300","Dev","The APPLY operator is available in T-SQL for quite some time now, but for many people it’s under the radar. People who do know it can’t stop using it, and this session will show you why. The session starts with a brief overview of the operator and its fundamental optimization aspects. Then the session demonstrates some of its more creative uses."
"52","Boosting DWH-Performance with SQL Server 2014","Markus Ehrenmüller-Jensen",NA,NA,"300","DBA","SQL Server 2014 is all about in-memory. Not that previous versions did not hold as much as data as possible inside of memory through caching, but now we enter a new era: columnar storage, in-memory tables and compiled stored procedures are different from what we have seen so far. In this session, you will see how you can leverage those new features and how you can come by existing limitations. Come back to office with the knowledge how to boost the performance of your ETL, queries and reports into the new era."
"53","Branding Yourself for a Dream Job","Steve Jones",200,2015-03-05,"200","Car","Everyone wants a dream job that they enjoy going to each week.  However finding that job, and getting yourself hired can be hard for  most people. Steve Jones will give you practical tips and suggestions in this session that show you how to better market yourself, how to get  the attention of employers, and help improve the chances that the job  you want will get offered to you. Learn about networking, blogging, and  more. Learn practical tips on  Networking     Blogging     Volunteering     Speaking     Authoring     Leadership"
"54","Budgeting with Power Pivot","Alberto Ferrari",300,2015-03-05,"300","BI","Budgeting is one of the most challenging scenarios in the Power Pivot arena. For example, you might need to summarize sales in previous years and to allocate the budget forecasts. You have to work with data at different granularities and to find a way to author DAX code to compute the forecasts at the desired granularity. When it comes to budgeting, each company is a unique scenario. In this session, Alberto will show you some common techniques to use when building a budget model with Power Pivot and Power Query, including previous year allocation, multiple-step budgeting with linked back tables, handling of budget on products which do not yet exist."
"55","Build your own Monitoring Environment with Powershell","Andre Kamman",400,2015-03-05,"400","DBA","Love to run Brent's sp_Blitz and use Ola's MaintenanceSolution, but you have dozens or even hundreds of servers? Let's build a Powershell script together that will use Remoting to run whatever script you like in parallel on any number of servers. We'll talk about remoting, remoting across domains or even without, how to run scripts in the background and in parallel. I'll show you how to store the results and report on it across all your servers in one go."
"56","Building A Reporting Solution Using Power Query","Chris Webb",300,2015-03-05,"300","BI","Power Query is a desktop ETL tool, right? Well, yes - but it's a lot more than that. In fact you can use Power Query to build an impressive Excel-based reporting solution without going near Power Pivot, and in some cases this approach can be better than using Power Pivot. In this session you'll learn how to:Connect to multiple data sources and combine data from them in Power Query     Create parameterised queries in Power Query, and pass parameters to them from your Excel worksheet     Build a Reporting Services-like user interface for your reports in Excel     Ensure that your reports work in Excel Services as well as on the desktop     Make sure that you get the best possible performance in Power Query using query folding     Learn when to load data to the Excel Data Model/Power Pivot, and when not to"
"57","Building Big - In The Cloud","Ewan Fairweather",300,2015-03-06,"300","Dev","The Azure CAT team has successfully architected, designed and built hundreds of cloud projects. In this session we will share the learnings on how to design a cloud application to scale to handle large, complex workloads. We will have a special focus on the telemetry management and monitoring requirements such large systems require. Building cloud applications are different than building on premise SQL Server applications. Agenda  I) Share some of the existing successful cloud deployment feeds and speeds.  II) The challenges we faced  III) It is all about the architecture up front  IV) Lessons Learned  V) Summary Q&A."
